id,lo_mhz,hi_mhz,name,service,description,mode,tags,source
dab-8d,200.304,201.840,DAB Block 8D,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-9a,202.160,203.696,DAB Block 9A,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-9b,203.872,205.408,DAB Block 9B,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-9c,205.584,207.120,DAB Block 9C,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-9d,207.296,208.832,DAB Block 9D,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-10a,209.168,210.704,DAB Block 10A,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-10b,210.880,212.416,DAB Block 10B,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-10c,212.592,214.128,DAB Block 10C,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-10d,214.304,215.840,DAB Block 10D,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-11a,216.160,217.696,DAB Block 11A,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-11b,217.872,219.408,DAB Block 11B,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-11c,219.584,221.120,DAB Block 11C,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-11d,221.296,222.832,DAB Block 11D,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-12a,223.168,224.704,DAB Block 12A,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-12b,224.880,226.416,DAB Block 12B,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-12c,226.592,228.128,DAB Block 12C,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-12d,228.304,229.840,DAB Block 12D,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-13a,230.016,231.552,DAB Block 13A,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-13b,231.728,233.264,DAB Block 13B,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-13c,233.440,234.976,DAB Block 13C,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-13d,235.008,236.544,DAB Block 13D,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-13e,236.720,238.256,DAB Block 13E,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-13f,238.432,239.968,DAB Block 13F,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
